TotalEnvSteps,REINFORCE-seed-3,REINFORCE-seed-1,REINFORCE-seed-0
55168,11.60000038,8.300000191,12.69999981
55296,8.300000191,8.5,14.30000019
55424,9.199999809,8.800000191,15.10000038
55552,10.19999981,9.5,14.80000019
55680,9.100000381,9.899999619,12.80000019
55808,9,11,14.80000019
55936,9.699999809,11.10000038,14.10000038
56064,7.800000191,8.899999619,14.30000019
56192,9,7.699999809,12.69999981
56320,10.39999962,8.199999809,10.89999962
56448,8.699999809,8.800000191,12.80000019
56576,9.5,9.600000381,13.80000019
56704,10.19999981,11.10000038,11.89999962
56832,11,9.899999619,13.30000019
56960,10.69999981,10.10000038,14.19999981
57088,10.80000019,9.5,13
57216,11.10000038,8.300000191,11.69999981
57344,10.5,10.19999981,10.80000019
57472,10.60000038,11.10000038,11.19999981
57600,8.600000381,9.899999619,11.80000019
57728,7.300000191,10.5,14.69999981
57856,8.5,12.60000038,15.60000038
57984,9.5,13.80000019,12.5
58112,7.5,12.19999981,11.5
58240,10.30000019,10.80000019,13
58368,10.39999962,11.69999981,12.89999962
58496,7.699999809,11,14.80000019
58624,8.600000381,11.80000019,13.69999981
58752,7.900000095,10.60000038,12.69999981
58880,8,8.899999619,16.89999962
59008,9.100000381,11.5,16.10000038
59136,12.10000038,12.10000038,14.5
59264,11.10000038,12,13.80000019
59392,9.800000191,11,13.60000038
59520,9.600000381,10.10000038,14.19999981
59648,10.69999981,9.5,14.89999962
59776,8.699999809,9.699999809,14.80000019
59904,6.800000191,9.399999619,13.69999981
60032,7,9.699999809,14.69999981
60160,8,9.5,13.39999962
60288,7.199999809,10.39999962,13.30000019
60416,8.5,9.800000191,13.10000038
60544,7.900000095,9.600000381,14.39999962
60672,9.100000381,11.10000038,16.5
60800,8.199999809,11.69999981,15.10000038
60928,7.699999809,13.19999981,14.19999981
61056,7.599999905,13.19999981,14
61184,6.5,12.39999962,11.69999981
61312,7.5,9,13.10000038
61440,9.100000381,7,15.30000019
61568,10.10000038,7.900000095,13
61696,11.19999981,10.30000019,12.89999962
61824,9.399999619,9.600000381,14.80000019
61952,9.600000381,9.600000381,15.10000038
62080,10.5,9.600000381,14.30000019
